name,number,arcana,suit,img,fortune_telling,keywords,Archetype,Hebrew Alphabet,Numerology,Elemental,Mythical/Spiritual,Questions to Ask,meanings.light,meanings.shadow,Astrology,Affirmation
Wheel of Fortune,10,Major Arcana,Trump,m10.jpg,"['Some events are in the hands of heaven', ""You've lived through this before"", 'What happened then?']","['luck', 'randomness', 'cycles', 'karma', 'fate', 'revolution']",The Fates/Destiny,Koph/Palm/20,"10 (finality, completion) and 10 = 1 + 0 = 1 (seed, opportunity)",Jupiter,"The God in the Machine. Deus ex Machina. Clotho, Lachesis, and Atropos. Fortuna.","['How does this challenge fit into a larger pattern?', 'What role does luck play in my circumstances?', 'What can I control? How should I know when to relinquish control?']","['Allowing events to unfold', 'Seeing the larger pattern in everyday events', 'Trusting your luck', 'Watching for cycles', 'Believing that ""what goes around, comes around""']","['Losing money gambling', 'Refusing to do your part to bring a plan to fruition', 'Taking a fatalistic approach to life', 'Fighting the natural course of events']",,
Justice,11,Major Arcana,Trump,m11.jpg,"['A legal verdict will be rendered soon', 'Someone is making a decision', 'You need to get the facts']","['balance', 'law', 'fairness', 'objectivity']",The Id,Theth/Snake/9 or Lamed/Outstretched Arms/30,"11 = 1 + 1 = 2 (debate, duality) or 8 (movement, outer work)",Leo or Libra,Samson. Hercules. Daniel in the lion's den. The sinless Christ.,"['How can I enhance my self-discipline?', 'What behaviors tempt me? How can I resist?', 'What instincts do I continue to struggle with today?']","['Making an objective decision', 'Weighing an issue carefully before taking action', 'Appropriately scaling your reaction to a situation', 'Getting all the facts', 'Considering evidence', 'Deliberating']","['Delivering harsh criticism', 'Obsessing on rules and regulations', 'Playing by the book even when it is destructive or counterproductive to do so', 'Confusing snap decisions with timely action', 'Playing favorites']",,
The Hanged Man,12,Major Arcana,Trump,m12.jpg,"['A traitor is revealed', 'One of your friends is working against you', 'Change your ways or suffer the consequences']","['enlightenment', 'sacrifice', 'perspective', 'suspension', 'reversals']",The Traitor,Mem/Water/40,"12 = 1 + 2 = 3 (expression, productivity, output)",Water,The Crucified Christ. Isaac as a sacrifice. Prometheus bound. Jonah and the whale. Lazarus. Any hanged or sacrificed god. Judas.,"['How can I radically alter my perspective?', 'How might being stuck actually be a blessing in disguise?', 'How can I help myself see the glass as half full?']","['Seeing growth opportunities in unpleasant events', 'Experiencing a dramatic change in personal perspective', 'Making the best of an unforeseen change in your life or work', 'Suspending disbelief', 'Making sacrifices']","['Being untrue to yourself and your values', 'Refusing to make sacrifices when appropriate', 'Refusing to adapt to new situations', 'Blaming others', 'Profiting at the expense of others']",,
Death,13,Major Arcana,Trump,m13.jpg,"['A relationship or illness ends suddenly', 'Limit travel and risk-taking', 'General gloom and doom']","['ending', 'conclusion', 'transition', 'passage', 'departure']",Death,Nun/Fish/50,"13 = 1 + 3 = 4 (stability, persistence)",Scorpio,Christ in the tomb. Hades. Hypnos. Thanatos. Stories of journeys into the underworld.,"['What needs to end?', 'How might an ending actually be a blessing in this situation?', ""What's next?""]","['Bringing an unpleasant phase of life to an end', 'Recognizing and celebrating the conclusion of something', 'Putting bad habits to rest', 'Becoming a new person', 'Leaving one person, place, or thing for another', 'Letting go']","['Obsessing on death and dying', 'Refusing to give up old habits or unhealthy relationships', 'Insisting that everything and everyone should stay the same forever', 'Failing to take good care of yourself']",,
Temperance,14,Major Arcana,Trump,m14.jpg,"[""Someone's using drugs or alcohol to excess"", ""It's time to get back on that diet""]","['blending', 'synthesis', 'mediation', 'combination', 'harmony']",The Mediator,Samekh/Foundation/60,"14 = 1 + 4 = 5 (catalyst, instability, confrontation)",Sagittarius,"The angel seen here may be the goddess Iris. By extension, priests, priesthoods, or the transfigured Christ.","['How can I avoid extremes?', 'What does everyone involved have in common?', 'How might combining familiar things help me create something new?']","['Bringing opposites together', 'Moderating your actions or emotions', 'Finding middle ground', 'Reaching compromises', 'Synthesizing solutions that please everyone involved', 'Using the old to make something new']","['Going to extremes', 'Disrupting group efforts', 'Ignoring healthy approaches to life', 'Becoming an addict', 'Practicing gluttony', 'Tearing something or someone apart', 'Breaking alliances']",,
The Devil,15,Major Arcana,Trump,m15.jpg,"['Adultery and unfaithfulness', 'A string of extremely bad luck is coming your way', ""Beware evil influences and wolves in sheep's clothing""]","['shadow', 'materialism', 'bondage', 'delusion']","The Shadow, The Other",Ayin/Eye/70,"15 = 1 + 5 = 6 (adjustment, collaboration)",Capricorn,"The Biblical Satan, certainly. Fallen angels, including Lucifer. Bacchus and Pan. Tempters and serpents of every stripe.","['What enslaves me? How can I set myself free?', 'How can I re-evaluate the importance I assign to material things?', 'To what extent do my cravings define me?']","['Appreciating the luxuries that life has to offer', 'Being comfortable in your own skin', 'Enjoying your sexuality', 'Splurging on an expensive personal item', 'Embracing the fact that everyone has a darker side', 'Dealing with unhealthy impulses in healthy ways']","['Putting excessive emphasis on appearances', 'Always wanting more', 'Valuing possessions more than people or relationships', 'Allowing base instincts to govern your life', 'Being selfish', 'Attributing your own dark impulses to outside forces or other people']",,
The Tower,16,Major Arcana,Trump,m16.jpg,"['Impending disaster', 'Cancel plans and reverse decisions', 'Someone wants to take you down a notch or two', ""Don't hold back; say what you really mean""]","['demolition', 'upheaval', 'deconstruction', 'disaster', 'destruction']",The Shattered Ego,Pe[as]/Open Mouth/80,"16 = 1 + 6 = 7 (psychology, imagination, inner work)",Mars,The Tower of Babel. The destruction of Sodom and Gomorrah. Shiva's destructive dance. The lightning of Zeus and Thor.,"['How might the current situation dramatically alter my perspective?', 'How might this loss open the door for new growth?', 'What attitudes need to be struck down before I proceed?']","['Breaking out of old, confining habits and mindsets', 'Clearing the way for new growth', 'Dispelling the influence of an inflated ego', 'Getting back to basics', 'Stripping away harmful illusions', 'Receiving sudden insight']","['Clinging to traditions that repress growth', 'Engaging in willful blindness', 'Rejecting evidence that change is needed', 'Ignoring guidance from a higher power', 'Maliciously engaging in destructive behavior']",,
The Star,17,Major Arcana,Trump,m17.jpg,"['Get an astrology chart drawn up', 'Someone is a little too starstruck', ""What's happening now has long been fore-ordained""]","['hope', 'optimism', 'openness', 'certainty', 'faith', 'longing', 'truth']",The Heavenly Guide,"Tzaddi/Fishhook/90 or, in some decks, He[as]/Window/5","17 = 1 + 7 = 8 (action, movement, swiftness)",Aquarius,The star that guided the Magi. Aphrodite. Venus. The Pleiades. Moses bringing forth water from the rock.,"['What would my higher power direct me to do?', 'How can I be less self-conscious and guarded?', ""How can I better attune myself to the abundance of life's blessings?""]","['Hoping for the best', 'Believing good things happen to good people', 'Seeing events in the best possible light', 'Adopting a generous spirit', 'Seeking guidance from above', 'Embracing possibility over probability']","['Denying unpleasant truths', 'Denying personal accountability and saying, ""Things just happen!""', 'Ignoring signs and omens', 'Preferring illusion to reality', 'Spreading pessimism and stinginess of spirit']",,
The Moon,18,Major Arcana,Trump,m18.jpg,"['Watch for problems at the end of the month', 'Someone you know needs to howl at the moon more often', 'Someone is about to change his or her mind about an important decision']","['mystery', 'fantasy', 'imagination', 'dreams', 'uncertainty']",The Holy Feminine/The Crone,Koph/Back of the Head/100,"18 = 1 + 8 = 9 (fullness, readiness, ripeness)",Pisces,"Kali, the dark-skinned divine mother associated with time, the eternal night, and the female principle. Hecate, goddess of night and darkness, who, like Anubis, assists others in their travels to the underworld. ","['How can I face my fears and move forward?', 'What helpers can serve me as guides through my personal darkness?', 'How can I deal with the unknown in healthy ways?']","['Enjoying healthy fantasies and daydreams', 'Using your imagination', 'Practicing magic or celebrating the magic of everyday life', 'Attuning yourself to the cycles of nature', 'Embracing the unknown']","['Becoming unable to separate fantasy from reality', 'Suffering from delusions', 'Losing your appreciation for the fantastic or magical', 'Adopting a ruthlessly logical mindset', ""Failing to appreciate life's mysteries""]",,
The Sun,19,Major Arcana,Trump,m19.jpg,"[""Everything's coming up roses (or sunflowers, whatever the case may be)"", ""Whatever's on your mind, go for it because you can't lose today""]","['joy', 'brilliance', 'validation', 'attention', 'energy']",The Holy Masculine,Resh/Head/200,"19 = 1 + 9 = 10 (completion, exhaustion) 1 + 0 = 1 (starting point, opportunity)",The Sun,"God the Father. Sun gods, including Ra, Apollo, and Helios. The moment of baptism. Claiming a new faith as your own.","['How can I take best advantage of the attention coming my way?', 'What are my highest spiritual goals?', 'How can I avoid being bedazzled by the energy swirling around me?']","['Seeing things clearly', 'Experiencing intense joy', 'Celebrating your own successes', ""Knowing you're good at what you do"", 'Gaining recognition for your personal genius']","['Being dazzled by your own accomplishments', 'Becoming absorbed in your own self-image', 'Feeling rushed and distracted', 'Exerting yourself to the point of exhaustion', 'Overstating your abilities or misrepresenting your achievements']",,
Judgement,20,Major Arcana,Trump,m20.jpg,"['An old issue you thought was over will come up again today', 'Get ready for huge changes: break-ups, sudden calls from old friends, and unexpected setbacks', ""God's trying to get your attention""]","['revival', 'renewal', 'resurrection', 'evaluation', 'invitation']",Resurrection,Sin/Tooth/300,"20 = 2 + 0 = 2 (division, duality)",Fire,"The resurrected Christ. The Last Judgment of Revelation. The phoenix, which rises to new life from its own ashes.","['What is the main thing I need to realize about myself?', 'In what way might the universe be trying to get my attention?', 'If I were to reinvent myself, what would I become?']","['Receiving a wake-up call', 'Discovering a new purpose in life', 'Becoming totally and completely yourself', 'Receiving a well-deserved reward', 'Passing an evaluation or examination', 'Welcoming the start of a new phase of life']","['Being weighed in the balances and found wanting', 'Failing to measure up to a well-defined standard', 'Being caught goofing off or misbehaving', 'Failing to prepare for an examination you know is coming', 'Rejecting an opportunity to reinvent yourself']",,
The World,21,Major Arcana,Trump,m21.jpg,"['Winning the lottery', ""Getting your heart's desire"", 'Having everything you ever imagined having']","['wholeness', 'integration', 'totality', 'completeness', 'fullness']",Enlightenment,Tau/Cross/400,"21 = 2 + 1 = 3 (expression, result)",Saturn,The ascended Christ. The Buddha attaining enlightenment. The alpha and the omega. The completion of the alchemist's great work.,"['For me, what would having it all mean?', 'How aware am I of my own connectedness to the world around me?', 'What keeps me from having it all right now, today?']","['Having it all', 'Knowing and loving yourself as completely as possible', 'Seeing the interconnection of all things and people', 'Enhancing your perspective', 'Living life to its fullest', 'Understanding the meaning of life']","['Allowing greed and envy to prevent you from enjoying what you do possess', 'Failing to see the larger design in ordinary events', 'Believing that everything that exists can be touched, counted, or measured', 'Failing to see the divine reflected in those around you']",,
Ace of Cups,1,Minor Arcana,Cups,c01.jpg,"['Romance is in the cards', 'A new relationship or marriage is just around the corner', 'Prayers are answered']","['intuition', 'spirituality', 'affection', 'motivation']",,,"1 (The Origin: the starting point, the seed, opportunity)",,,"['What am I feeling right now?', 'How would I go about opening myself to spiritual guidance?', 'What motivates me the most - pleasure or pain? Why?']","['Trusting your feelings', 'Opening yourself to spirit', 'Accepting and returning affection', 'Getting in touch with what motivates you', 'Taking advantage of an opportunity to express love to others', 'Listening to the still, small voice']","['Hiding your feelings', 'Spurning an opportunity to love or be loved', 'Numbing yourself to spiritual yearnings', 'Rejecting the counsel of your heart', 'Becoming a puppet of your own emotions', 'Indulging in hysteria or obsession']","Cancer, Scorpio, Pisces","""I listen to the counsel of my heart."""
Two of Cups,2,Minor Arcana,Cups,c02.jpg,"['Someone has a secret crush on you', 'Relationships should be mutual; get rid of a leech']","['union', 'attraction', 'combination', 'affection']",,,"2 (The Other: duality, division, debate)",,,"['How can I make sure that what I\'m feeling is mutual?"",""When was the last time I felt ""in love"" with someone or something?', 'What do you need in order to feel emotionally stable?']","['Being drawn to someone', 'Longing for someone or something', 'Acting on your desires', 'Discovering a feeling is mutual', 'Doing what makes you feel good', 'Merging', 'Healing broken ties', 'Admitting two people feel differently about each other and moving on']","['Burning bridges', 'Becoming caught up in unhealthy codependency', 'Shutting out anyone but your chosen few', 'Obsessing on someone who does not return your affections', 'Despairing over finding ""The One""', 'Deceiving yourself about your true orientation']",Venus in Cancer,"""I am attuned to what my heart truly desires."""
Three of Cups,3,Minor Arcana,Cups,c03.jpg,"[""Unconventional romance is coming your way: a love affair with someone you've always dismissed""]","['celebration', 'expression', 'community', 'friendliness']",,,"3 (The Result: expression, productivity, output)",,,"[""What's worth celebrating in my life?"", 'How can I demonstrate my feelings in appropriate ways?', 'What can I do to show my partner how I really feel?']","['Celebrating your feelings or connections with others', 'Expressing joy through song, dance, or physical affection', 'Working together with others who share your feelings', 'Performing acts of service as a way of saying, ""I love you""', 'Embracing unconventional romantic arrangements']","['Mistaking giddiness for true affection', 'Being dominated by manic emotions', 'Expecting everyone to always feel the same way you do', 'Demanding unreasonable support from friends or family', 'Partying to a dangerous or unhealthy extent']",Mercury in Cancer,"""I allow my actions to reflect my true emotions."""
Four of Cups,4,Minor Arcana,Cups,c04.jpg,"['A lover is getting restless', 'Find out what he or she needs, or new opportunities may lure your partner away']","['boredom', 'listlessness', 'lethargy', 'stability', 'ingratitude']",,,"4 (The Status Quo: stability, equality, persistence)",,,"['How can I use this ""downtime"" to my best advantage?', ""How can I show my partner that I don't take him or her for granted?"", 'To what extent is my mood blinding me to new opportunities?']","['Maintaining your emotional stability', 'Refusing to give in to overwhelming emotions', 'Appreciating what you have and refusing to take it for granted', 'Seeing the value of long-term commitments']","['Being bored', 'Daydreaming at the expense of your work', 'Refusing to be engaged by opportunity', 'Taking people and relationships for granted', 'Ignoring romantic or spiritual opportunities', 'Spurning inspiration', 'Feeling everything should stay ""just like it is""']",Moon in Cancer,"""I appreciate what I've been given."""
Five of Cups,5,Minor Arcana,Cups,c05.jpg,"['A breakup looms', ""Don't cry over spilt milk"", 'Take your lumps and get back in the saddle']","['loss', 'despair', 're-evaluation', 'regret', 'uncertainty', 'repentance']",,,"5 (The Catalyst: instability, resistance, confrontation)",,,"['How do I tend to deal with loss?', 'What life lesson might I be learning now?', 'How can I shift my attention from the past to the future?']","['Acknowledging loss and moving on', 'Focusing on how the glass remains ""half-full""', 'Finding the silver lining in a dark cloud', 'Recognizing that loss is a natural part of life', 'Embracing healthy grief', 'Learning lessons from harsh consequences']","['Wallowing in unhealthy grief or self-pity', 'Refusing to move on and let go', 'Clinging to the past', 'Obsessing on past lives and past loves', 'Failing to live in the present', 'Beating yourself up over past mistakes', 'Allowing fear of failure to limit your efforts']",Mars in Scorpio,"""I learn from my losses and move on."""
Six of Cups,6,Minor Arcana,Cups,c06.jpg,"['A stingy spirit is strangling your enjoyment of life', ""Loosen up and think of others for once, why don't you?""]","['charity', 'sharing', 'sacrifice', 'cooperation', 'fairness']",,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,"['What gifts do I possess? How freely do I give them?', 'How can I practice unconditional giving?', 'How would things change if I became a more charitable person?']","['Donating your time and talents to others', 'Taking satisfaction in knowing how your efforts will aid others', 'Creating a ""win-win"" scenario', 'Giving even when you know repayment is not possible', 'Being motivated to do a good deed']","['Linking your sense of self-worth to the appraisals of others', 'Striving to appear more needy than you really are', 'Taking undeserved or unmerited charity', 'Bragging about your charitable efforts', 'Profiteering in times of distress', 'Refusing to share a burden']",Sun in Scorpio,"""I freely give myself to others, expecting nothing in return."""
Seven of Cups,7,Minor Arcana,Cups,c07.jpg,"[""You're being fed a line"", 'Rather than be dazzled by fancy words and promises, demand something real']","['imagination', 'dreams', 'illusions', 'goals']",,,"7 (The Motive: imagination, inner work, psychology)",,,"['What do you want most? What do you fear most? How are these related?', 'How is your imagination working for you? Against you?', 'How might a clearer personal vision help you choose a single cup from the many available?']","['Motivating yourself with images of future success', 'Using visualization to encourage progress', 'Taking an imaginative or creative approach to problem solving', 'Making dreams come true', 'Gleaning insight from personal visions']","['Obsessing on imaginary fears or uncertain consequences', 'Giving in to emotional or political terrorism', 'Spending more time dreaming than working', 'Failing to envision the possible repercussions of your choices', 'Being controlled by fear']",Venus in Scorpio,"""I use inner vision as a tool for growth."""
Eight of Cups,8,Minor Arcana,Cups,c08.jpg,"['Someone\'s ""stepping out"" on you, now or in the near future', ""Maybe it's time to quit talking about the problem and just move on""]","['longing', 'dissatisfaction', 'quest', 'departure', 'withdrawal']",,,"8 (The Action: movement, outer work, swiftness)",,,"['What do I need to leave behind once and for all?', 'If I left in search of ""more,"" what would I be looking for, exactly?', 'How might a retreat enhance my perspective?']","['Wanting something better', 'Blazing your own trail', 'Realizing there must be more to life', 'Leaving an unhealthy situation behind', 'Starting your own business', 'Going on a retreat', 'Seeking the ""still, small voice""']","['Being implacable', 'Finding fault', 'Nitpicking', 'Refusing to settle down', 'Running away from problems or confrontations', 'Saying, ""It\'s my way or the highway!""', 'Harping on past mistakes and disappointments', 'Threatening to quit as a strategy to get your way']",Saturn in Pisces,"""I am always open to opportunities for growth."""
Nine of Cups,9,Minor Arcana,Cups,c09.jpg,"[""Whatever you want, you'll get it""]","['satisfaction', 'sensuality', 'luxury', 'pleasure']",,,"9 (The Completion: fullness, readiness, ripeness)",,,"['What is true happiness?', 'If I could have anything, what would I have?', 'What is my attitude toward luxury? Do I deserve it?']","['Being delighted with your own achievements', 'Recognizing your own talents and abilities', 'Reveling in the good things life has to offer', 'Indulging yourself', 'Relaxing and unwinding', 'Having everything you need in order to feel complete']","['Being smug', 'Satisfying yourself at the expense of others', 'Being selfish', 'Over-indulging', 'Avoiding work that needs to be done', 'Claiming achievements or skills you do not possess', 'Never being satisfied, no matter how much you have']",Jupiter in Pisces,"""I have everything I need to be happy."""
Ten of Cups,10,Minor Arcana,Cups,c10.jpg,"['Marriage and family are in the cards', 'Expect a friendship to blossom into a romance']","['joy', 'fulfillment', 'overwhelming emotion', 'giddiness']",,,"10 (The End: finality, completion, exhaustion)",,,"['Who gets to define what ""joy"" consists of?', 'What course of action is available when you feel overwhelmed?', 'How might vows or promises play a role in achieving a greater level of joy in your life?']","['Having more than you ever dreamed', ""Being deeply thankful for all you've been given"", 'Recognizing the Hand of God in the gifts the Universe brings your way', 'Experiencing transcendent joy', 'Achieving domestic bliss']","['Comparing your achievements or relationships to unrealistic fantasy standards', 'Experiencing emotions so intense they blunt your ability to cope with reality', 'Feeling overwhelmed', 'Envying the achievements and happiness of others']",Mars in Pisces,"""I take time to appreciate what I've been given."""
Page of Cups,11,Minor Arcana,Cups,c11.jpg,"['This card represents a young man or woman with a watery, dreamy demeanor, likely born a Libra, Scorpio, or Sagittarius, who wants to start a new relationship with you']","['enthusiasm', 'first impressions', 'romanticism', 'superficiality']",,,,Earth of Water.,,"['How worried are you that others will see you as foolish or inexperienced?', 'To what extent can you be honest about your lack of experience in love and faith?', 'How can you maintain enthusiasm over time?']","['Showing your emotions freely', 'Throwing yourself into romance', 'Nursing a secret crush', 'Indulging in romantic fantasy', 'Starting a new relationship', 'Recalling your first love', 'Experiencing love for the first time', 'Converting to a new religion']","['Mistaking a crush for true love', 'Reading romantic intention into innocent action', 'Frantically trying to impress others', 'Indulging in overly-sweet sentimentality', 'Pretending to more romantic or spiritual experience than you possess']",,"""I am ready to embrace love and Spirit."""
Knight of Cups,12,Minor Arcana,Cups,c12.jpg,"['This card represents a man with an emotional, sensitive personality, likely born between October 13th and November 11th, who wants you to rally around his latest passionate cause']","['fervor', 'zeal', 'moodiness', 'illumination']",,,,Air of Water.,,"['How prone to emotional extremes are you?', ""What's the difference in driving passion and blind zeal?"", 'How can you inspire others without inciting a riot?']","['Being deeply committed to a cause', 'Giving in to strong emotions, from excitement to depression', 'Acting on intuition alone', 'Solving problems intuitively', 'Believing in and basing decisions on ideals instead of realities', 'Bringing intuition or passion to the table']","['Becoming a fanatic', 'Rejecting information that suggests your intuitions are misguided', 'Allowing your emotions to control you', 'Giving in to jealousy, confrontation, and peer pressure', 'Hiding or ignoring intuitive insights']",,"""I translate my passions into actions."""
